"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCBP4",2.05166825017819e-16,-0.693591892525469,0.613,0.909,3.89837484216357e-12
"SPARCL1",2.21590254666537e-16,2.56395401130608,0.546,0.134,4.21043642891888e-12
"JAG1",2.24401507225075e-16,1.08142561645104,0.899,0.5,4.26385303878365e-12
"MRPL11",2.2496747623005e-16,-0.541921096662288,0.756,0.941,4.27460701584719e-12
"SIX5",2.24969105608334e-16,-0.536066091209596,0.714,0.968,4.27463797566396e-12
"FAM69B",2.26220601587186e-16,-0.604247350290739,0.706,0.973,4.29841765075812e-12
"STRBP",2.64607447444374e-16,-0.856913879352665,0.513,0.866,5.02780610889055e-12
"AADAT",2.73735633792286e-16,-1.64047089764411,0.235,0.753,5.20125077768723e-12
"C8orf34",2.8701160732726e-16,2.23632202949343,0.538,0.134,5.45350755082526e-12
"ZNF821",2.87645295551541e-16,-0.414694269077366,0.857,0.989,5.46554826077483e-12
"CD9",2.97090944803386e-16,1.19721241607367,0.84,0.452,5.64502504220914e-12
"THYN1",3.17105485229696e-16,-1.23212411468444,0.361,0.833,6.02532132484946e-12
"TERF1",3.53205865435962e-16,-0.645881054043229,0.815,0.973,6.71126464914871e-12
"SCPEP1",3.55626565954904e-16,-0.678423238937616,0.647,0.957,6.75726037970914e-12
"BCL11A",3.64777521021626e-16,-0.720806674239421,0.697,0.957,6.93113767693192e-12
"ING2",3.98644113893341e-16,-0.912045074280399,0.529,0.898,7.57463680808738e-12
"ABHD14B",4.11167595076497e-16,-0.322594904995219,0.866,0.962,7.81259547404852e-12
"SRI",4.51811961503249e-16,-1.11216156212301,0.42,0.823,8.58487908052323e-12
"CH25H",4.90732337942168e-16,2.01149035877603,0.639,0.21,9.32440515323914e-12
"SLC16A10",5.18276783397607e-16,-2.09902170239321,0.143,0.64,9.84777716133794e-12
"INTU",5.24435852075587e-16,-0.762814222618283,0.605,0.919,9.96480562528822e-12
"FAM208A",5.34456243539613e-16,-0.473566354125542,0.798,0.968,1.01552030834962e-11
"ANXA2",5.40310939382298e-16,1.24492261818165,0.874,0.581,1.0266448159203e-11
"RAD54L2",5.79415537289821e-16,-1.02225032771728,0.445,0.86,1.10094746240439e-11
"ATP8A2",6.24784521140499e-16,-1.58257788958135,0.244,0.742,1.18715306861906e-11
"PTRHD1",6.89345072430012e-16,-0.547592407553933,0.723,0.925,1.30982457212427e-11
"CDKN2AIP",6.90071296454259e-16,-1.42376739053765,0.303,0.763,1.31120447039274e-11
"SELENOW",7.15511627531751e-16,-0.686954177697548,0.924,0.984,1.35954364347308e-11
"CACNB4",7.16707072523026e-16,-1.15837980063053,0.395,0.855,1.361815108501e-11
"SFXN3",7.3279326186242e-16,0.843386440940957,0.899,0.565,1.39238047686478e-11
"CASD1",7.50791507753319e-16,-0.921909436298681,0.479,0.871,1.42657894388208e-11
